Player ID,Player Name,Batting Style,Bowling Style,Playing Role,Test Batting Pos,ODI Batting Pos,T20I Batting Pos,Bowling Type
1175496,Kaki Nitish Kumar Reddy,Right hand Bat,Right arm Medium fast,Batting Allrounder,Middle Order,,Middle Order,Right-arm Pacer
30042,Syed Saba Karim,Right hand Bat,,Wicketkeeper Batter,Middle Order,Middle Order,,Unknown
26290,Arshad Ayub,Right hand Bat,Right arm Offbreak,Bowler,Tail,Tail,,Spin
642525,Sarfaraz Naushad Khan,Right hand Bat,Legbreak,Middle order Batter,Middle Order,,,Spin
28755,Dattajirao Krishnarao Gaekwad,Right hand Bat,"Right arm Medium, Legbreak",,Middle Order,,,All-rounder (Pace & Spin)
31811,Cottari Kanakaiya Nayudu,Right hand Bat,Right arm Offbreak,,Middle Order,,,Spin
34274,Shanthakumaran Sreesanth,Right hand Bat,Right arm Fast medium,Bowler,Tail,Tail,Tail,Right-arm Pacer
30974,Vijay Laxman Mehra,Right hand Bat,Right arm Bowler,,Openers,,,Unknown
33120,Vikram Rathour,Right hand Bat,,,Openers,Openers,,Unknown
477021,Vijay Shankar,Right hand Bat,Right arm Medium,Allrounder,,Middle Order,Middle Order,Right-arm Pacer
302582,Abhinav Mukund,Left hand Bat,Legbreak Googly,Top order Batter,Openers,,,Spin
27641,Nikhil Chopra,Right hand Bat,Right arm Offbreak,Bowler,Tail,Tail,,Spin
35565,Manoj Kumar Tiwary,Right hand Bat,Legbreak Googly,Batter,,Middle Order,Middle Order,Spin
26228,Ladhabhai Nakum Amar Singh,Right hand Bat,Right arm Fast medium,,Middle Order,,,Right-arm Pacer
34078,Reetinder Singh Sodhi,Right hand Bat,Right arm Medium,Allrounder,,Middle Order,,Right-arm Pacer
33044,Sagi Lakshmi Venkatapathy Raju,Right hand Bat,Slow Left arm Orthodox,Bowler,Tail,Tail,,Spin
33816,Balwinder Singh Sandhu,Right hand Bat,Right arm Medium fast,Bowler,Tail,Tail,,Right-arm Pacer
34215,Venkataraman Subramanya,Right hand Bat,Right arm Medium,,Middle Order,,,Right-arm Pacer
447261,Deepak Lokandersingh Chahar,Right hand Bat,Right arm Medium,Bowler,,Tail,Tail,Right-arm Pacer
28092,Dilawar Hussain,Right hand Bat,,,Openers,,,Unknown
471342,Krunal Himanshu Pandya,Left hand Bat,Slow Left arm Orthodox,Allrounder,,Middle Order,Middle Order,Spin
28770,Devang Jayant Gandhi,Right hand Bat,Right arm Medium,,Openers,Middle Order,,Right-arm Pacer
33127,Ajay Ratra,Right hand Bat,Right arm Medium,,Middle Order,Middle Order,,Right-arm Pacer
447587,Jayant Yadav,Right hand Bat,Right arm Offbreak,Bowler,Tail,Tail,,Spin
30066,Ramnath Baburao Kenny,Right hand Bat,Right arm Offbreak,,Middle Order,,,Spin
31820,Ashish Nehra,Right hand Bat,Left arm Medium fast,Bowler,Tail,Tail,Tail,Left-arm Pacer
28855,Chingleput Doraikannu Gopinath,Right hand Bat,Right arm Medium,,Middle Order,,,Right-arm Pacer
32346,Mannava Sri Kanth Prasad,Right hand Bat,,,Middle Order,Tail,,Unknown
35940,Syed Wazir Ali,Right hand Bat,Right arm Medium,,Top Order,,,Right-arm Pacer
27622,Rajesh Kumar Chauhan,Right hand Bat,Right arm Offbreak,Bowler,Tail,Tail,,Spin
28814,Jaysinghrao Mansinghrao Ghorpade,Right hand Bat,Legbreak Googly,,Middle Order,,,Spin
35308,Narendra Shankar Tamhane,Right hand Bat,,,Tail,,,Unknown
35280,Rudra Pratap Singh,Right hand Bat,Left arm Fast medium,Bowler,Tail,Tail,Tail,Left-arm Pacer
529436,Kona Srikar Bharat,Right hand Bat,,Wicketkeeper Batter,Middle Order,,,Unknown
27978,Vijay Dahiya,Right hand Bat,,,Tail,Middle Order,,Unknown
35805,Yalaka Venugopal Rao,Right hand Bat,Right arm Offbreak,Middle order Batter,,Middle Order,,Spin
1175488,Dhruv Chand Jurel,Right hand Bat,,Wicketkeeper Batter,Middle Order,,Middle Order,Unknown
30049,Murali Kartik,Left hand Bat,Slow Left arm Orthodox,Bowler,Tail,Tail,Tail,Spin
33859,Chandrasekhar Trimbak Sarwate,Right hand Bat,"Right arm Offbreak, Legbreak",,Openers,,,Spin
29721,Padmanabh Govind Joshi,Right hand Bat,,,Tail,,,Unknown
33958,Parthasarathy Harishchandra Sharma,Right hand Bat,Right arm Medium,,Top Order,Openers,,Right-arm Pacer
940973,Mohammed Siraj,Right hand Bat,Right arm Fast,Bowler,Tail,Tail,Tail,Right-arm Pacer
28821,Ghulam Ahmed,Right hand Bat,Right arm Offbreak,,Tail,,,Spin
26806,Subramaniam Badrinath,Right hand Bat,Right arm Offbreak,Middle order Batter,Middle Order,Middle Order,Middle Order,Spin
28880,Subhashchandra Pandharinath Gupte,Right hand Bat,Legbreak Googly,Bowler,Tail,,,Spin
34007,Roshan Harshadlal Shodhan,Left hand Bat,Left arm Medium,,Tail,,,Left-arm Pacer
31778,Sudhir Sakharam Naik,Right hand Bat,,,Openers,Openers,,Unknown
27591,Bhagwath Subramanya Chandrasekhar,Right hand Bat,Legbreak,Bowler,Tail,Tail,,Spin
30077,Surinder Chamanlal Khanna,Right hand Bat,,,,Openers,,Unknown
32391,Ramesh Rajaram Powar,Right hand Bat,Right arm Offbreak,Bowler,Middle Order,Tail,,Spin
32201,Ghulam Ahmed Hasan Mohammed Parkar,Right hand Bat,Right arm Medium,,Openers,Openers,,Right-arm Pacer
26829,Lakshmipathy Balaji,Right hand Bat,Right arm Medium fast,Bowler,Tail,Tail,Tail,Right-arm Pacer
310958,Abhimanyu Mithun,Right hand Bat,Right arm Medium,Bowler,Tail,Tail,,Right-arm Pacer
33059,Cotar Ramaswami,Left hand Bat,Right arm Bowler,,Middle Order,,,Unknown
29529,Khanmohammad Cassumbhoy Ibrahim,Right hand Bat,,,Openers,,,Unknown
40329,Gul Mohammad,Left hand Bat,Left arm Medium,,Middle Order,,,Left-arm Pacer
34741,Probir Kumar Sen,Right hand Bat,,,Tail,,,Unknown
32371,Pananmal Hotchand Punjabi,Right hand Bat,,,Openers,,,Unknown
35673,Raghvendrarao Vijay Bharadwaj,Right hand Bat,Right arm Offbreak,,Middle Order,Middle Order,,Spin
26872,Atul Chandrakant Bedade,Left hand Bat,Right arm Medium,,,Middle Order,,Right-arm Pacer
30954,Jacob Joseph Martin,Right hand Bat,Legbreak Googly,,,Middle Order,,Spin
851403,Venkatesh Rajasekaran Iyer,Left hand Bat,Right arm Medium,Allrounder,,Middle Order,Middle Order,Right-arm Pacer
28792,Rohan Sunil Gavaskar,Left hand Bat,Slow Left arm Orthodox,,,Middle Order,,Spin
30112,Amay Ramsevak Khurasiya,Left hand Bat,Slow Left arm Orthodox,,,Middle Order,,Spin
30923,Maninder Singh,Right hand Bat,Slow Left arm Orthodox,Bowler,Tail,Tail,,Spin
36069,Vijay Yadav,Right hand Bat,,,Tail,Tail,,Unknown
31813,Cottari Subbanna Nayudu,Right hand Bat,Legbreak Googly,,Tail,,,Spin
32130,Pragyan Prayash Ojha,Left hand Bat,Slow Left arm Orthodox,Bowler,Tail,Tail,Tail,Spin
30030,Aashish Rakesh Kapoor,Right hand Bat,Right arm Offbreak,,Tail,Tail,,Spin
28107,Dilip Rasiklal Doshi,Left hand Bat,Slow Left arm Orthodox,Bowler,Tail,Tail,,Spin
33963,Sanjeev Kumar Sharma,Right hand Bat,Right arm Medium,,Tail,Tail,,Right-arm Pacer
34814,Surendra Nath,Right hand Bat,Right arm Medium,,Tail,,,Right-arm Pacer
34074,Laxman Sivaramakrishnan,Right hand Bat,Legbreak Googly,,Tail,Tail,,Spin
32965,Munaf Musa Patel,Right hand Bat,Right arm Medium fast,Bowler,Tail,Tail,Tail,Right-arm Pacer
28751,Chandrasekhar Vaman Gadkari,Right hand Bat,Right arm Medium,,Tail,,,Right-arm Pacer
1119026,Devdutt Padikkal,Left hand Bat,Right arm Offbreak,Top order Batter,Top Order,,Top Order,Spin
700167,Navdeep Amarjeet Saini,Right hand Bat,Right arm Fast,Bowler,Tail,Tail,Tail,Right-arm Pacer
1151288,Bhardwaj Sai Sudharsan,Left hand Bat,Legbreak,Top order Batter,,Openers,Middle Order,Spin
35939,Atul Satish Wassan,Right hand Bat,Right arm Fast medium,,Tail,Tail,,Right-arm Pacer
1079434,Riyan Parag,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter,,Middle Order,Middle Order,Spin
30107,Gagan Kishanlal Khoda,Right hand Bat,,Batter,,Openers,,Unknown
33034,Lalchand Sitaram Rajput,Right hand Bat,,,Openers,Openers,,Unknown
30019,Hemant Shamsunder Kanitkar,Right hand Bat,,,Top Order,,,Unknown
1125976,Arshdeep Singh,Left hand Bat,Left arm Medium fast,Bowler,,Tail,Tail,Left-arm Pacer
36072,Yajurvindra Singh,Right hand Bat,Right arm Medium,,Middle Order,,,Right-arm Pacer
31939,Naoomal Jeoomal Makhija,Right hand Bat,Legbreak,,Openers,,,Spin
35713,Sadanand Viswanath,Right hand Bat,,,Tail,Tail,,Unknown
721867,Jitesh Mohan Sharma,Right hand Bat,,Wicketkeeper Batter,,,Middle Order,Unknown
35731,Ranganath Vinay Kumar,Right hand Bat,Right arm Medium,Bowler,Tail,Tail,Tail,Right-arm Pacer
446763,Rahul Ajay Tripathi,Right hand Bat,Right arm Medium,Top order Batter,,,Top Order,Right-arm Pacer
30182,Abey Kuruvilla,Right hand Bat,Right arm Fast medium,Bowler,Tail,Tail,,Right-arm Pacer
31004,Amritsar Govindsingh Milkha Singh,Left hand Bat,Right arm Medium,,Middle Order,,,Right-arm Pacer
33182,Ambar Khirid Roy,Left hand Bat,Right arm Medium,,Middle Order,,,Right-arm Pacer
34211,Sarandeep Singh,Right hand Bat,Right arm Offbreak,,Tail,Tail,,Spin
30117,Gogumal Kishenchand Harisinghani,Right hand Bat,Legbreak,,Middle Order,,,Spin
27592,Vakkadai Biksheswaran Chandrasekhar,Right hand Bat,,,,Openers,,Unknown
398506,Mandeep Singh,Right hand Bat,Right arm Medium,Allrounder,,,Openers,Right-arm Pacer
823703,Rajat Manohar Patidar,Right hand Bat,Right arm Offbreak,Top order Batter,Middle Order,Openers,,Spin
33999,Sadashiv Ganpatrao Shinde,Right hand Bat,Legbreak Googly,,Tail,,,Spin
32278,Yadavenadrasingh (Yuvraj of Patiala),Right hand Bat,,,Middle Order,,,Unknown
1176959,Akash Deep,Right hand Bat,Right arm Fast medium,Bowler,Tail,,,Right-arm Pacer
430246,Yuzvendra Singh Chahal,Right hand Bat,Legbreak Googly,Bowler,,Tail,Tail,Spin
34081,Sriranga Wasudev Sohoni,Right hand Bat,Right arm Medium,,Tail,,,Right-arm Pacer
34118,Sridharan Sriram,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,,Top Order,,Spin
36054,Jai Prakash Yadav,Right hand Bat,Right arm Medium,,,Tail,,Right-arm Pacer
41030,Abdul Hafeez Kardar,Left hand Bat,Slow Left arm Orthodox,,Middle Order,,,Spin
32202,Ramnath Dhondu Parkar,Right hand Bat,,,Openers,,,Unknown
26897,Prakash Bhandari,Right hand Bat,Right arm Offbreak,,Tail,,,Spin
390481,Harshal Vikram Patel,Right hand Bat,Right arm Medium,Bowler,,,Tail,Right-arm Pacer
29297,Dattaram Dharmaji Hindlekar,Right hand Bat,,,Tail,,,Unknown
33187,Pranab Roy,Right hand Bat,Right arm Medium,,Openers,,,Right-arm Pacer
27665,Sorabji Hormasji Munchersha Colah,Right hand Bat,Right arm Medium,,Middle Order,,,Right-arm Pacer
32102,Naman Vinaykumar Ojha,Right hand Bat,,Wicketkeeper Batter,Middle Order,Openers,Openers,Unknown
30950,Madhav Krishnaji Mantri,Right hand Bat,Right arm Medium,,Top Order,,,Right-arm Pacer
30999,Paras Laxmikant Mhambrey,Right hand Bat,Right arm Medium,,Tail,Tail,,Right-arm Pacer
26815,Sairaj Vasant Bahutule,Left hand Bat,Legbreak,,Tail,Tail,,Spin
29299,Narendra Deepchand Hirwani,Right hand Bat,Legbreak Googly,Bowler,Tail,Tail,,Spin
28095,Ramesh Vithaldas Divecha,Right hand Bat,"Right arm Medium, Right arm Offbreak",,Tail,,,All-rounder (Pace & Spin)
1175441,Ravi Bishnoi,Right hand Bat,Legbreak Googly,Bowler,,Tail,Tail,Spin
34109,Tirumalai Echambadi Srinivasan,Right hand Bat,Legbreak,,Top Order,Openers,,Spin
29268,Manohar Shankar Hardikar,Right hand Bat,"Right arm Medium, Right arm Offbreak",,Middle Order,,,All-rounder (Pace & Spin)
28671,Faiz Yakub Fazal,Left hand Bat,Right arm Medium,Opening Batter,,Openers,,Right-arm Pacer
31791,Mohammad Nissar,Right hand Bat,Right arm Fast medium,,Tail,,,Right-arm Pacer
32224,Iftikhar Ali Khan Pataudi (Nawab of),Right hand Bat,,,Top Order,,,Unknown
35281,Vikram Raj Vir Singh,Right hand Bat,Right arm Medium fast,,Tail,Tail,,Right-arm Pacer
28772,Ashok Gandotra,Left hand Bat,Slow Left arm Orthodox,,Middle Order,,,Spin
32192,Jatin Vasudeo Paranjape,Left hand Bat,Slow Left arm Orthodox,,,Middle Order,,Spin
26853,Subroto Tara Banerjee,Right hand Bat,Right arm Medium fast,,Tail,Tail,,Right-arm Pacer
29533,Kumar Shri Madhavsinhji Jadeja Indrajitsinhji,Right hand Bat,,,Openers,,,Unknown
694211,Avesh Khan,Right hand Bat,Right arm Fast medium,Bowler,,Tail,Tail,Right-arm Pacer
33152,Bharath Reddy,Right hand Bat,,,Tail,Tail,,Unknown
35390,Saurabh Sunil Tiwary,Left hand Bat,,Top order Batter,,Middle Order,,Unknown
31795,Modireddy Venkat Narasimha Rao,Right hand Bat,Legbreak,Allrounder,Middle Order,,,Spin
32966,Piyush Pramod Chawla,Left hand Bat,Legbreak,Bowling Allrounder,Tail,Tail,Tail,Spin
30743,Lall Singh,Right hand Bat,,,Middle Order,,,Unknown
360911,Varun Raymond Aaron,Right hand Bat,Right arm Fast,Bowler,Tail,Tail,,Right-arm Pacer
227712,Ashok Bhimchandra Dinda,Right hand Bat,Right arm Medium fast,Bowler,,Tail,Tail,Right-arm Pacer
31806,Janardan Gyanoba Navle,Right hand Bat,,,Openers,,,Unknown
26257,Salil Ashok Ankola,Right hand Bat,Right arm Medium fast,,Tail,Tail,,Right-arm Pacer
33092,Vasant Baburao Ranjane,Right hand Bat,Right arm Fast medium,,Tail,,,Right-arm Pacer
29654,Mohammad Jahangir Khan,Right hand Bat,Right arm Fast medium,,Tail,,,Right-arm Pacer
30135,Pochiah Krishnamurthy,Right hand Bat,Legbreak,,Tail,Tail,,Spin
390484,Jaydev Dipakbhai Unadkat,Right hand Bat,Left arm Medium,Bowler,Tail,Tail,Tail,Left-arm Pacer
29976,Joginder Sharma,Right hand Bat,Right arm Fast medium,Allrounder,,Tail,Tail,Right-arm Pacer
30151,Rajiv Ramesh Kulkarni,Right hand Bat,Right arm Fast medium,,Tail,Tail,,Right-arm Pacer
537119,Mohit Mahipal Sharma,Right hand Bat,Right arm Medium,Bowler,,Tail,Tail,Right-arm Pacer
33091,Khanderao Moreshwar Rangnekar,Left hand Bat,Right arm Medium,,Tail,,,Right-arm Pacer
35930,Maharajah of Vizianagram,Right hand Bat,,,Tail,,,Unknown
31816,Syed Nazir Ali,Right hand Bat,Right arm Fast medium,,Middle Order,,,Right-arm Pacer
28774,Doddanarasiah Ganesh,Right hand Bat,Right arm Medium,,Tail,Tail,,Right-arm Pacer
32157,Phiroze Edulji Palia,Left hand Bat,Slow Left arm Orthodox,,Middle Order,,,Spin
33151,Vivek Razdan,Right hand Bat,Right arm Fast medium,,Tail,Tail,,Right-arm Pacer
34026,Iqbal Rashid Siddiqui,Right hand Bat,Right arm Medium fast,,Openers,,,Right-arm Pacer
28878,Balkrishna Pandharinath Gupte,Right hand Bat,Legbreak Googly,,Tail,,,Spin
277955,Dhawal Sunil Kulkarni,Right hand Bat,Right arm Medium,Bowler,,Tail,Tail,Right-arm Pacer
31025,Debasis Sarbeswar Mohanty,Right hand Bat,Right arm Medium,Bowler,Tail,Tail,,Right-arm Pacer
1079848,Shivam Pankaj Mavi,Right hand Bat,Right arm Fast medium,Bowler,,,Tail,Right-arm Pacer
33009,Kanwar Rai Singh,Right hand Bat,,,Tail,,,Unknown
26293,Bharathi Arun,Right hand Bat,Right arm Medium,,Tail,Tail,,Right-arm Pacer
32236,Jasubhai Motibhai Patel,Right hand Bat,Right arm Offbreak,,Tail,,,Spin
33882,Ramesh Chand Saxena,Right hand Bat,Legbreak,,Openers,,,Spin
28756,Hiralal Ghasulal Gaekwad,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",,Tail,,,All-rounder (Pace & Spin)
28884,Gursharan Singh,Right hand Bat,,,Middle Order,Middle Order,,Unknown
31808,Surendra Vithal Nayak,Left hand Bat,"Right arm Medium, Legbreak",,Tail,Tail,,All-rounder (Pace & Spin)
604527,Nitish Rana,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter,,Middle Order,Middle Order,All-rounder (Pace & Spin)
33952,Gopal Sharma,Right hand Bat,Right arm Offbreak,,Tail,Tail,,Spin
1312645,Harshit Pradeep Rana,Right hand Bat,Right arm Fast,Bowler,Tail,Tail,,Right-arm Pacer
36080,Tinu Yohannan,Right hand Bat,Right arm Medium fast,,Tail,Tail,,Right-arm Pacer
29667,Laxmidas Purshottamdas Jai,Right hand Bat,,,Middle Order,,,Unknown
30157,Thirunavukkarasu Kumaran,Right hand Bat,Right arm Medium,,,Tail,,Right-arm Pacer
1064812,Rahul Desraj Chahar,Right hand Bat,Legbreak Googly,Bowler,,Tail,Tail,Spin
28850,Morappakam Joysam Gopalan,Right hand Bat,Right arm Fast medium,,Tail,,,Right-arm Pacer
34019,Laxmi Ratan Shukla,Right hand Bat,Right arm Medium,Allrounder,,Middle Order,,Right-arm Pacer
38997,Amir Elahi,Right hand Bat,"Right arm Medium, Legbreak",,Openers,,,All-rounder (Pace & Spin)
28864,Subrata Guha,Right hand Bat,Right arm Medium fast,,Tail,,,Right-arm Pacer
26860,Mohammad Baqa Khan Jilani,Right hand Bat,Right arm Medium,,Middle Order,,,Right-arm Pacer
30149,Nilesh Moreshwar Kulkarni,Left hand Bat,Slow Left arm Orthodox,,Tail,Tail,,Spin
34086,Sujith Bijjahali Somasunder,Right hand Bat,Right arm Medium,Top order Batter,,Openers,,Right-arm Pacer
26268,Arvindrao Laxmanrao Apte,Right hand Bat,Right arm Medium,,Openers,,,Right-arm Pacer
926851,Mukesh Kumar,Right hand Bat,Right arm Medium,Bowler,Tail,Tail,Tail,Right-arm Pacer
1079470,Ramandeep Singh,Right hand Bat,Right arm Medium,Middle order Batter,,,Middle Order,Right-arm Pacer
33164,Madhusudan Ramachandra Rege,Right hand Bat,Right arm Offbreak,,Openers,,,Spin
35627,Prashant Sridhar Vaidya,Right hand Bat,Right arm Medium fast,,,Tail,,Right-arm Pacer
32220,Chandrakant Trimbak Patankar,Right hand Bat,,,Tail,,,Unknown
32284,Sadashiv Raoji Patil,Right hand Bat,Right arm Fast medium,,Tail,,,Right-arm Pacer
26851,Sarodindu Nath Banerjee,Right hand Bat,Right arm Fast medium,,Tail,,,Right-arm Pacer
