Player ID,Player Name,Batting Style,Bowling Style,Playing Role,Test Batting Pos,ODI Batting Pos,T20I Batting Pos,Bowling Type
32249,Rashid Ghulam Mohammed Patel,Left hand Bat,Left arm Fast medium,,Tail,Tail,,Left-arm Pacer
1159711,Shahbaz Ahmed,Left hand Bat,Slow Left arm Orthodox,Allrounder,,Tail,Tail,Spin
33891,Thirumalai Ananthanpillai Sekar,Right hand Bat,Right arm Medium fast,,Tail,Tail,,Right-arm Pacer
34060,Robin Singh,Right hand Bat,Right arm Fast medium,,Tail,,,Right-arm Pacer
35657,Margashayam Venkataramana,Right hand Bat,Right arm Offbreak,,Tail,Tail,,Spin
290632,Sreenath Aravind,Left hand Bat,Left arm Medium fast,Bowler,,,Tail,Left-arm Pacer
323131,Parvinder Awana,Right hand Bat,Right arm Medium,Bowler,,,Tail,Right-arm Pacer
27988,Hemchandra Tukaram Dani,Right hand Bat,"Right arm Fast medium, Right arm Offbreak, Legbreak",,Tail,,,All-rounder (Pace & Spin)
822553,Tushar Uday Deshpande,Left hand Bat,Right arm Medium,Bowler,,,Tail,Right-arm Pacer
317293,Manpreet Singh Gony,Right hand Bat,Right arm Medium,Bowler,,Tail,,Right-arm Pacer
1081442,Mayank Markande,Right hand Bat,Legbreak,Bowler,,,Tail,Spin
530773,Pawan Negi,Left hand Bat,Slow Left arm Orthodox,Bowler,,,Tail,Spin
33027,Vijay Rajindernath,Right hand Bat,,,Tail,,,Unknown
33085,Randhir Singh,Right hand Bat,Right arm Fast medium,,,Tail,,Right-arm Pacer
1048739,Ravisrinivasan Sai Kishore,Left hand Bat,Slow Left arm Orthodox,Bowler,,,Tail,Spin
592735,Sankarankutty Sandeep Warrier,Right hand Bat,Right arm Medium,Bowler,,,Tail,Right-arm Pacer
34020,Rakesh Chandra Shukla,Right hand Bat,Legbreak Googly,,Tail,,,Spin
34057,Rudra Pratap Singh,Right hand Bat,Left arm Fast medium,,,Tail,,Left-arm Pacer
537126,Barinder Balbirsingh Sran,Left hand Bat,Left arm Medium,Bowler,,Tail,Tail,Left-arm Pacer
34189,Venkatraman Narayan Swamy,Right hand Bat,Right arm Fast medium,,Tail,,,Right-arm Pacer
